MAINUPC,ITEMNAME,SIZENAME,PACKNAME,
000000RM1738,Remy 1738 - ,50 ml,Single,22.98
4,Absorb's Key,,,0.00
00000MIO1,Mionetto  Brut - ,750 ml,,19.35
0000ACE2,Ace Of Spades Rose,750 ml,,725.99
104750097,Filari Montepulciano,750 ml,Single,13.30
110900001,velho barreiro,,,21.77
110900003,Velho barreiro GOLD-,750 ml,,22.98
110900007,Cachaca Tatuzinho - 1L,,,19.35
110900008,cachaca diamond,,,42.34
1201303,Pep,,,1.51
1211300,Pepsi - 2L,2 L,Single,4.60
1212901,Pepsi ,20 Oz,Single,3.33
1230137,Camel NON-FILTER,,,25.40
1230331,Camel Filter,,,18.45
1230739,Camel BLUE,,,18.14
1239332,Camel Crush Menthol,,,18.45
1253102,Pepsi ,,,3.03
125456210,Colori Di Giada Sangria Tropical Mango,750 ml,Single,13.30
1256808,Pepsi  Can,12 Oz,,1.51
1280504, Diet Pepsi,12 Oz,Single,1.51
146711430,Super Bock ,12 Oz,6-Pack,12.69
153051030,Partida ,375 ml,,24.19
153051050,PARTIDA BLANCO ,750 ml,,52.02
1660433,Rose's Lime ,12 Oz,,6.04
1660530,Rose's Grenadine - ,12 Oz,,5.52
173922531,Saperavi Red Dry Wine,,,24.19
173961245,Tsinandali White Dry Wine,,,24.19
01805125twelve,Bush  ,12 Oz,12-Pack,13.31
01806726TWELVE,Natural Ice ,12 Oz,12-Pack,13.31
1811825,Naturday Strawberry,12 Oz,6-Pack,6.76
1812620,Budweiser Bottles,40 Oz,Single,4.21
1816024,Bud Light,40 Oz,Single,4.21
01816820TWENTYFOUR,Budweiser Bottle,12 Oz,24-Pack,31.45
1817829,Bud Light Lime,12 Oz,6-Pack,10.88
1818828,Busch Light,12 Oz,6-Pack,7.25
1819128,Bud Light 7Oz Btl,12 Oz,Single,1.37
1823723,Michelob Ultra Zero,12 Oz,6-Pack,9.67
1833429,Michelob Ultra Can,12 Oz,6-Pack,9.67
1854529,Natural Ice  Single,16 Oz,,1.43
2200419,Pbr ,24OZ,Single,1.80
2207412,Pabst Blue Ribbon ,16 Oz,6-Pack,10.88
2248400,Orbit Spearmint,,,1.82
251199989,Lobster Reef Sauvignon Blanc,750 ml,Single,18.14
259600010,Tona,12 Oz,12-Pack,24.19
259600011,Tona ,,6-Pack,13.30
2657211,Newport Gold Menthol 100,,,18.45
2657318,Newport 100,,,18.49
2657512,Newport,,,18.49
2657619,Newport Gold Menthol,,,18.45
2658016,Newport Blue 100,,,18.45
2658317,Newport Blue,,,18.45
2665618,Newport Red,,,18.33
2665715,Newport  Red 100,,,18.33
2723929,Capri Menthol,,,24.19
2786229,Pall Malll Blue 100,,,19.35
2786520,Pall Mall Menthol 100,,,23.29
2786724,Pall Mall Red 100,,,19.35
2826428,Marlboro 27,,,18.45
2835727,Marlboro Red,,,18.45
2836124,Marlboro Menthol,,,18.45
2836328,Marlboro RED 100,,,18.45
