id,Product Name,Size,Pack,Category,Price ($),UPC
1,2 Roads Flavottown Spiked Variety,12 Oz,8-Pack,Beer & RTD,13.3,1957801308
2,Arnold Palmer Spiked,12 Oz,12-Pack,Beer & RTD,24.19,1300875220
3,BDL SELTZER VARIETY CAN,,12-Pack,Beer & RTD,22.98,1820020333
4,BEATBOX,,,Beer & RTD,6.04,5113300612
5,BEATBOX PEACHPUNCH,,,Beer & RTD,6.04,5113300649
6,BEATBOX RAZZ,,,Beer & RTD,6.04,5113300613
7,BEATBOX TROPICAL,,,Beer & RTD,6.04,5113300634
8,Barefoot Seltzers Pineapple,187 ml,4-Pack,Beer & RTD,9.67,8500043104
9,Beatbox Hard Tea,500 ml,,Beer & RTD,6.04,5113300675
10,Beatbox Juicy Mango,,,Beer & RTD,6.04,5113300682
11,Beatbox Lemonade,500 ml,,Beer & RTD,6.04,5005919539
12,Beatbox Orange,500 ml,,Beer & RTD,6.04,5005919512
13,Beatbox Watermelon Lemonade,500 ml,,Beer & RTD,6.04,5005919541
14,Blue Moon,20 Oz,Single,Beer & RTD,4.43,7199000114
15,Blue Moon No Alcohoic,12 Oz,6-Pack,Beer & RTD,13.3,7199000104
16,Blue Point Toasted Lager,,6-Pack,Beer & RTD,16.93,8174500133
17,Boom Sauce,,4-Pack,Beer & RTD,18.14,5654400742
18,Bronx Brewery,16 Oz,4-Pack,Beer & RTD,18.14,5663200481
19,Brooklyn Lager,12 Oz,6-Pack,Beer & RTD,13.3,3061300001
20,Bud Ice Can,25 Oz,Single,Beer & RTD,2.21,1820025006
21,Bud Light,12 Oz,24-Pack,Beer & RTD,31.45,1820053168
22,Bud Light,25 Oz,Single,Beer & RTD,3.62,1820025001
23,Bud Light,40 Oz,Single,Beer & RTD,4.21,1816024
24,Bud Light,7 Oz,6-Pack,Beer & RTD,7.25,1820000773
25,Bud Light 16Oz Can,16 Oz,6-Pack,Beer & RTD,14.51,1565600000
26,Bud Light 7Oz Btl,12 Oz,Single,Beer & RTD,1.37,1819128
27,Bud Light Aluminum,16 Oz,12-Pack,Beer & RTD,24.19,1820097009
28,Bud Light Bot Box,,12-Pack,Beer & RTD,18.14,1820000769
29,Bud Light Bottles,12 Oz,24-Pack,Beer & RTD,31.45,1820053349
30,Bud Light Cans,12 Oz,30-Pack,Beer & RTD,39.92,1820053030
31,Bud Light Lime,12 Oz,18-Pack,Beer & RTD,26.61,1820096292
32,Bud Light Lime Bottles,12 Oz,12-Pack,Beer & RTD,19.35,1820014990
33,Bud Light Orange,12 Oz,6-Pack,Beer & RTD,10.88,1820025902
34,Bud Light Plat,12 Oz,18-Pack,Beer & RTD,26.61,1820096044
35,Bud Light Platinum Bottles,12 Oz,12-Pack,Beer & RTD,19.35,1820018992
36,Bud Light Seltzer Holiday pk,,,Beer & RTD,16.93,1820020278
37,Budweiser,12 Oz,18-Pack,Beer & RTD,24.19,1563600000
38,Budweiser Aluminium,16 Oz,12-Pack,Beer & RTD,24.19,1820097008
39,Budweiser Bottle,12 Oz,24-Pack,Beer & RTD,31.45,01816820TWENTYFOUR
40,Budweiser Bottles,12 Oz,24-Pack,Beer & RTD,31.45,1820011349
41,Budweiser Bottles,40 Oz,Single,Beer & RTD,4.21,1812620
42,Budweiser Can,25 Oz,Single,Beer & RTD,3.62,1820025000
43,Budweiser Cans,12 Oz,30-Pack,Beer & RTD,39.92,1820011030
44,Budweiser Cans,16 Oz,6-Pack,Beer & RTD,14.51,1563800000
45,Budweiser Platinum,12 Oz,6-Pack,Beer & RTD,10.88,1581800000
46,Budweiser Zero,12 Oz,6-Pack,Beer & RTD,13.3,1820020039
47,Buzz Ball Berry Cherry,187 ml,Single,Beer & RTD,4.83,5004263874
48,Buzz Ball Grape Gone Wild,,,Beer & RTD,4.83,5520000552
49,Buzz Ball Pink Lemonsqueezy,187 ml,Single,Beer & RTD,4.83,8800407657
50,Buzz Balls,,4-Pack,Beer & RTD,16.93,5004263824
51,Buzz ball chocalate,,,Beer & RTD,4.83,5764100289
52,BuzzBallz Lime rita,,,Beer & RTD,4.83,5764100214
53,BuzzBallz Peach,,,Beer & RTD,4.83,5520000528
54,BuzzBallz Strawberry,,,Beer & RTD,4.83,5764100265
55,Buzzball,,,Beer & RTD,4.83,5764100210
56,Buzzball Berry Cherry,1.75 L,Single,Beer & RTD,30.24,5109100634
57,Buzzball Blue,187 ml,Single,Beer & RTD,4.83,5767400798
58,Buzzball Mango,187 ml,Single,Beer & RTD,4.83,5767400788
59,Buzzball Strawberry Rita,1.75 L,Single,Beer & RTD,30.24,5109100668
60,Buzzballsz Biggies Chocolate,1.75 L,Single,Beer & RTD,30.24,5109100622
61,Buzzballsz Giggies Rita,1.75 L,,Beer & RTD,30.24,5109100620
62,Buzzballsz Giggies Strw,1.75 L,,Beer & RTD,30.24,5109100621
63,Buzzballz Colada,,,Beer & RTD,4.83,5764100229
64,Buzzballz Cookie Nookie,187 ml,,Beer & RTD,4.83,5109100677
65,Buzzballz Eggnog,187 ml,,Beer & RTD,4.83,5767400790
66,Buzzballz Lime Rita,187 ml,4-Pack,Beer & RTD,19.35,5004263822
67,Buzzballz Pink Lemonsqueezy,1.75 L,Single,Beer & RTD,30.24,8800407660
68,CAYMAN JACK MARG.CAN,,12-Pack,Beer & RTD,24.19,1582901153
69,CAYMAN JACK VARIETY CAN,,12-Pack,Beer & RTD,24.19,1582901004
70,CORONA fAMILIAR,,12-Pack,Beer & RTD,22.98,1568000000
71,CRABBIES GINGER BEER,,4-Pack,Beer & RTD,12.09,4855700000
72,Cayman Jack Sweet Heat Marg,12 Oz,12-Pack,Beer & RTD,24.19,1582901196
73,Cider Boys Carmel Apple,12 Oz,6-Pack,Beer & RTD,15.72,8873390022
74,Ciderboys First press,,12-Pack,Beer & RTD,20.56,8873390006
